Country Name,1960,1960 Male,1960 Female,1970,1970 Male,1970 Female,1980,1980 Male,1980 Female,1990,1990 Male,1990 Female,2000,2000 Male,2000 Female,2010,2010 Male,2010 Female,2020,2020 Male,2020 Female,2022,2022 Male,2022 Female
Kuwait,305415,180606,124809,802786,449871,352915,1493870,847994,645876,1674938,934227,740711,1934901,1132811,802091,2943356,1675640,1267716,4360444,2671060,1689384,4268873,2595948,1672926
Lao PDR,2122532,1047533,1074999,2675283,1320168,1355114,3297519,1636637,1660882,4314443,2158369,2156074,5430853,2725901,2704952,6323418,3181861,3141557,7319399,3689825,3629574,7529475,3794678,3734796
Lebanon,1798092,905350,892742,2381791,1203454,1178338,2963702,1480934,1482768,3593700,1767344,1826355,4320642,2137718,2182925,4995800,2477872,2517928,5662923,2748285,2914639,5489739,2662356,2827383
Liberia,1137026,581810,555216,1463563,740762,722802,1932169,966472,965697,2209731,1095527,1114203,2895224,1424909,1470314,4019956,1988726,2031229,5087584,2531454,2556131,5302681,2640702,2661979
Libya,1426986,735014,691972,1909177,995857,913320,2962720,1582538,1380182,4236983,2265832,1971151,5154790,2712865,2441925,6491988,3300010,3191977,6653942,3369959,3283983,6812341,3447062,3365279
St. Lucia,91614,43962,47652,103090,49377,53714,121633,59355,62278,142301,70063,72238,159500,78831,80669,170935,85230,85705,179237,88826,90411,179857,88948,90909
Liechtenstein,16472,8025,8447,21089,10451,10638,25003,12389,12615,28765,14295,14470,33026,16258,16768,35926,17764,18162,38756,19223,19534,39327,19502,19825
Sri Lanka,9783871,5159694,4624178,12388769,6406116,5982653,14943645,7634256,7309389,17204094,8680922,8523172,18776371,9346333,9430039,20668557,10059778,10608780,21919000,10564472,11354528,22181000,10682766,11498234
Lesotho,737838,325063,412775,1023481,478954,544528,1407672,693999,713673,1798997,885455,913543,1998630,977454,1021176,2022747,991753,1030995,2254100,1112185,1141915,2305825,1137496,1168329
Lithuania,2778550,1287258,1491292,3139689,1477302,1662387,3413202,1606314,1806888,3697838,1739236,1958602,3499536,1626157,1873378,3097282,1423431,1673851,2794885,1309308,1485577,2831639,1329978,1501661
Luxembourg,313970,155086,158884,339171,166309,172862,364150,177856,186293,381850,187088,194761,436300,215218,221082,506953,252173,254780,630419,317212,313207,653103,328709,324394
Latvia,2120979,935219,1185760,2359164,1077154,1282009,2511701,1150421,1361280,2663151,1228833,1434317,2367550,1080560,1286989,2097555,955679,1141877,1900449,878681,1021768,1879383,871746,1007636
"Macao SAR, China",177014,88154,88859,247284,127190,120094,245332,125183,120149,350227,170710,179517,431896,207541,224355,557297,267356,289940,676283,317655,358628,695168,326180,368988
St. Martin (French part),4135,2026,2109,5802,2876,2926,7776,3888,3889,28127,14430,13697,29610,14448,15161,36458,17275,19183,32553,15477,17076,31791,15111,16680
Morocco,11769774,5875029,5894745,15274351,7648316,7626034,19678444,9824183,9854260,24570814,12271005,12299808,28554415,14279162,14275254,32464865,16297672,16167193,36688772,18474956,18213816,37457971,18852368,18605603
Monaco,21797,9780,12018,24270,11057,13213,27076,12592,14485,30329,14435,15894,32465,15791,16674,33178,16207,16971,36922,18095,18827,36469,17872,18596
Moldova,2074015,953227,1120788,2456514,1133577,1322937,2716068,1264339,1451730,2965978,1391294,1574683,2924668,1384963,1539705,2862354,1359655,1502700,2635130,1251834,1383296,2538894,1208783,1330111
Madagascar,5073342,2586559,2486782,6639751,3368753,3270999,8948162,4524048,4424114,11882762,5986073,5896690,16216431,8147724,8068707,21731053,10910952,10820101,28225177,14148424,14076752,29611714,14836218,14775496
Maldives,91650,50094,41555,123243,66112,57130,164887,87303,77584,224957,116993,107964,282507,145914,136593,361575,199169,162405,514438,297122,217316,523787,301315,222471
Mexico,36268055,18239142,18028913,50289306,25242786,25046519,67705186,33584396,34120789,81720428,40210868,41509560,97873442,47900060,49973382,112532401,55086407,57445993,125998302,61587451,64410851,127504125,62194954,65309171
Marshall Islands,15374,7877,7498,23969,12719,11251,31988,16313,15675,46047,23602,22445,54224,27814,26410,53416,27355,26061,43413,22190,21224,41569,21223,20346
North Macedonia,1462368,733351,729016,1656783,837604,819179,1907023,965935,941088,2044174,1037601,1006573,2026350,1019933,1006416,2055004,1026890,1028115,2072531,1033662,1038868,2057679,1025621,1032057
Mali,5346792,2705849,2640944,6153587,3094657,3058929,7372581,3693961,3678619,8945026,4494384,4450642,11239101,5670841,5568260,15529181,7844770,7684411,21224040,10718339,10505701,22593590,11406819,11186771
Malta,326550,156985,169565,302650,144933,157717,316645,154725,161920,354170,175180,178990,390087,193798,196289,414508,205890,208618,515332,266898,248434,531113,276869,254244
Myanmar,21720697,10880547,10840150,27284112,13676103,13608010,33465781,16778339,16687443,40099553,20097501,20002052,45538332,22768081,22770251,49390988,24658341,24732646,53423198,26606176,26817022,54179306,26962566,27216740
Montenegro,480579,229347,251232,512407,247011,265395,572608,279989,292619,606372,297571,308801,604950,293731,311220,619428,301687,317741,621306,302841,318464,617213,300543,316670
Mongolia,977903,486071,491832,1293880,645997,647882,1697780,848678,849102,2161433,1075781,1085652,2450979,1216362,1234617,2702520,1346373,1356147,3294335,1636094,1658241,3398366,1685387,1712979
Northern Mariana Islands,8702,4362,4340,10143,5190,4953,17613,9257,8357,48002,25276,22727,80338,38212,42127,54087,28107,25980,49587,26631,22956,49551,26635,22916
Mozambique,6788375,3319796,3468579,8411676,4174900,4236775,11413587,5583831,5829757,13303459,6479069,6824389,17768505,8655917,9112588,23073723,11236221,11837502,31178239,15293299,15884940,32969518,16176217,16793302
Mauritania,838478,415366,423111,1122198,558672,563527,1506694,751538,755155,2006027,1002426,1003601,2695003,1349905,1345099,3419461,1677917,1741544,4498604,2202418,2296186,4736139,2321228,2414911
Mauritius,676683,343446,333237,826000,417659,408341,966039,486137,479902,1058775,533959,524816,1186873,592881,593992,1250400,620864,629536,1266014,625161,640852,1262523,622533,639989
Malawi,3621081,1744786,1876295,4625141,2233465,2391677,6267369,3041298,3226071,9539665,4643501,4896164,11229387,5464600,5764787,14718422,7122580,7595842,19377061,9418758,9958303,20405317,9924861,10480456
Malaysia,7833782,3998586,3835196,10306508,5241436,5065072,13215707,6706385,6509322,17517054,8874067,8642988,22945150,11631359,11313791,28717731,14792312,13925419,33199993,16986172,16213821,33938221,17341833,16596389
Namibia,590181,284413,305768,754467,364127,390340,975994,472707,503286,1369011,663095,705916,1819141,880704,938437,2099271,1015983,1083287,2489098,1201660,1287438,2567012,1238563,1328449
New Caledonia,79000,41916,37084,112000,58830,53170,140050,72291,67758,170899,87249,83650,213230,108137,105093,249750,126309,123442,271080,135108,135971,269220,133887,135334
